"id","name"
"62","Kalimantan Tengah"
"52","Nusa Tenggara Barat (NTB)"
"11","Aceh (NAD)"
"14","Riau"
"82","Maluku Utara"
"18","Lampung"
"63","Kalimantan Selatan"
"81","Maluku"
"34","DI Yogyakarta"
"53","Nusa Tenggara Timur (NTT)"
"19","Kepulauan Bangka Belitung"
"51","Bali"
"33","Jawa Tengah"
"36","Banten"
"74","Sulawesi Tenggara"
"72","Sulawesi Tengah"
"12","Sumatera Utara"
"21","Kepulauan Riau"
"64","Kalimantan Timur"
"65","Kalimantan Utara"
"15","Jambi"
"16","Sumatera Selatan"
"61","Kalimantan Barat"
"73","Sulawesi Selatan"
"91","Papua"
"76","Sulawesi Barat"
"75","Gorontalo"
"35","Jawa Timur"
"92","Papua Barat"
"13","Sumatera Barat"
"71","Sulawesi Utara"
"17","Bengkulu"
"32","Jawa Barat"
"31","DKI Jakarta"
