"id","prov_id","name"
"31.01","31","Kab. Kepulauan Seribu"
"34.03","34","Kab. Gunung Kidul"
"11.08","11","Kab. Aceh Utara"
"36.01","36","Kab. Pandeglang"
"11.71","11","Kota Banda Aceh"
"11.04","11","Kab. Aceh Tengah"
"51.03","51","Kab. Badung"
"32.74","32","Kota Cirebon"
"81.09","81","Kab. Buru Selatan"
"33.21","33","Kab. Demak"
"17.09","17","Kab. Bengkulu Tengah"
"11.09","11","Kab. Simeulue"
"15.05","15","Kab. Muaro Jambi"
"11.02","11","Kab. Aceh Tenggara"
"15.71","15","Kota Jambi"
"17.05","17","Kab. Seluma"
"51.07","51","Kab. Karangasem"
"34.71","34","Kota Yogyakarta"
"11.12","11","Kab. Aceh Barat Daya"
"15.72","15","Kota Sungaipenuh"
"51.71","51","Kota Denpasar"
"11.01","11","Kab. Aceh Selatan"
"11.17","11","Kab. Bener Meriah"
"51.06","51","Kab. Bangli"
"36.02","36","Kab. Lebak"
"51.02","51","Kab. Tabanan"
"36.04","36","Kab. Serang"
"35.06","35","Kab. Kediri"
"11.72","11","Kota Sabang"
"11.11","11","Kab. Bireuen"
"11.18","11","Kab. Pidie Jaya"
"11.06","11","Kab. Aceh Besar"
"33.29","33","Kab. Brebes"
"11.16","11","Kab. Aceh Tamiang"
"11.13","11","Kab. Gayo Lues"
"33.73","33","Kota Salatiga"
"11.73","11","Kota Lhokseumawe"
"32.08","32","Kab. Kuningan"
"51.01","51","Kab. Jembrana"
"33.09","33","Kab. Boyolali"
"11.74","11","Kota Langsa"
"31.72","31","Kota Jakarta Utara"
"11.07","11","Kab. Pidie"
"51.04","51","Kab. Gianyar"
"32.04","32","Kab. Bandung"
"36.03","36","Kab. Tangerang"
"36.72","36","Kota Cilegon"
"11.75","11","Kota Subulussalam"
"32.13","32","Kab. Subang"
"36.73","36","Kota Serang"
"32.15","32","Kab. Karawang"
"34.02","34","Kab. Bantul"
"34.01","34","Kab. Kulon Progo"
"32.79","32","Kota Banjar"
"17.04","17","Kab. Kaur"
"33.02","33","Kab. Banyumas"
"36.74","36","Kota Tangerang Selatan"
"51.08","51","Kab. Buleleng"
"17.01","17","Kab. Bengkulu Selatan"
"32.77","32","Kota Cimahi"
"51.05","51","Kab. Klungkung"
"17.71","17","Kota Bengkulu"
"32.73","32","Kota Bandung"
"31.73","31","Kota Jakarta Barat"
"17.03","17","Kab. Bengkulu Utara"
"75.04","75","Kab. Pohuwato"
"17.06","17","Kab. Muko Muko"
"17.02","17","Kab. Rejang Lebong"
"31.74","31","Kota Jakarta Selatan"
"75.03","75","Kab. Bone Bolango"
"75.01","75","Kab. Gorontalo"
"34.04","34","Kab. Sleman"
"32.72","32","Kota Sukabumi"
"32.05","32","Kab. Garut"
"31.71","31","Kota Jakarta Pusat"
"18.07","18","Kab. Lampung Timur"
"31.75","31","Kota Jakarta Timur"
